track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,release_date
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,3423,26,775542072,61,65,53,6,64,14,70,9,0,9,8,2021-10-05
Locked Out Of Heaven,Bruno Mars,1,1622,9,1481349984,0,0,356,0,73,87,70,6,0,28,5,2012-12-05
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,1150,31,123122413,22,33,34,7,81,63,68,11,0,11,4,2023-06-01
Lose Yourself - Soundtrack Version,Eminem,1,32502,21,1829992958,247,54,,1,70,6,73,1,0,36,26,2002-01-01
Lost,Frank Ocean,1,29499,11,822239726,124,27,587,0,91,49,61,3,0,17,22,2012-01-01
Lost in the Fire,"The Weeknd, Gesaffelstein",2,7731,2,686734357,110,145,447,0,66,18,68,9,0,12,4,2019-01-11
Love Again,The Kid Laroi,1,1283,0,147538971,57,4,48,0,66,47,40,72,0,11,3,2023-01-27
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,2877,0,,16,0,54,0,53,75,69,7,0,17,3,1970-01-01
Love Language,SZA,1,1127,0,110849052,16,63,8,0,71,55,26,85,0,13,8,2022-12-09
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2696,0,540539717,42,2,57,0,58,44,60,44,9,5,6,2019-08-30
Love Of My Life,Harry Styles,1,1933,0,233671263,13,2,31,0,56,20,54,67,0,6,5,2022-05-20
Love Yourself,Justin Bieber,1,22730,5,2123309722,289,87,,0,61,53,38,84,0,28,44,2015-11-09
Lover,Taylor Swift,1,8448,23,882831184,160,110,163,0,43,50,55,50,0,15,10,2012-01-01
Lovers Rock,TV Girl,1,6339,13,466231982,3,1,36,1,56,57,87,0,1,10,4,2014-06-05
Lovezinho,Treyce,1,242,0,70069745,12,2,13,0,82,61,59,30,0,12,4,2022-07-28
Low,SZA,1,1911,0,272377463,23,71,14,0,70,34,55,43,0,16,6,2022-12-09
Lucid Dreams,Juice WRLD,1,14749,0,,188,34,710,0,44,22,48,38,0,33,24,2017-06-15
L���,Stromae,1,2035,0,108809090,41,122,394,0,56,58,55,35,0,23,11,2022-01-09
MAMIII,"Karol G, Becky G",2,6809,28,716591492,151,102,175,5,84,90,70,9,0,14,8,2022-02-10
MANIAC,Stray Kids,1,651,0,212234990,6,188,20,0,58,71,80,15,0,7,41,2022-03-18
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,1267,20,231332117,41,22,56,4,84,96,79,43,0,18,11,2022-12-16
METAMORPHOSIS,INTERWORLD,1,1561,24,357580552,18,78,24,0,59,15,64,43,90,12,10,2021-11-25
MIDDLE OF THE NIGHT,Elley Duh�,1,4057,8,872137015,78,21,240,1,41,9,61,2,0,12,5,2020-01-10
MIENTRAS ME CURO DEL CORA,Karol G,1,1020,35,206399629,15,26,30,6,52,57,48,86,0,15,39,2023-02-24
MOJABI GHOST,"Tainy, Bad Bunny",2,859,40,61245289,35,109,41,14,81,74,71,14,0,56,4,2023-06-29
MONEY,Lisa,1,2566,13,863625566,44,109,131,0,83,40,55,16,0,14,23,2021-09-10
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,641,50,58054811,1,52,8,0,63,84,82,70,8,9,7,2012-06-20
MONTERO (Call Me By Your Name),Lil Nas X,1,12329,0,1735441776,275,19,738,0,61,76,51,30,0,38,15,2020-09-18
MORE,j-hope,1,565,0,155795783,6,52,11,0,78,31,72,1,0,11,4,2022-07-01
Maan Meri Jaan,King,1,288,6,319566866,11,80,1,0,70,40,51,35,0,10,4,2022-10-12
Made You Look,Meghan Trainor,1,3956,6,502574952,142,23,127,3,84,88,53,35,0,8,7,2022-10-21
Major Distribution,"Drake, 21 Savage",2,1545,0,154863153,22,7,15,0,91,23,55,1,0,7,32,2022-11-04
Makeba,Jain,1,6060,53,165484133,150,148,,22,82,40,66,39,51,25,7,2015-06-22
Mal Feito - Ao Vivo,"Mar��lia Mendon��a, Hugo & G",2,971,2,291709698,35,104,93,1,73,68,83,55,0,90,7,2022-01-14
Malas Decisiones,Kenia OS,1,542,2,156214700,23,2,21,0,81,64,79,5,0,31,3,2022-10-26
Malvada,Z�� Fe,1,601,0,154119539,28,73,64,0,89,89,86,16,0,8,5,2022-01-28
Malvad��,"Xam��, Gustah, Neo B",3,648,1,240684449,14,3,81,0,82,52,61,38,0,14,27,2021-11-30
Mami Chula,"Quevedo, Jhayco",2,875,4,61105704,17,13,27,0,80,33,70,22,0,9,4,2023-04-27
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,329,0,58890931,14,35,1,0,50,49,76,12,0,12,3,2023-03-03
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,1845,16,223582566,20,8,30,2,77,72,87,17,0,7,5,2022-12-15
Maroon,Taylor Swift,1,2304,0,317726339,12,16,14,0,64,4,40,6,0,10,6,2022-10-21
Mary On A Cross,Ghost,1,2668,2,387080183,38,266,78,0,47,56,90,0,0,10,4,2019-09-13
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,1208,34,146409671,10,41,20,0,82,53,67,34,0,9,8,2023-03-02
Massive,Drake,1,5263,0,195628667,66,89,61,0,51,5,68,12,2,15,6,2022-06-17
Master of Puppets (Remastered),Metallica,1,6080,0,704171068,112,198,406,1,54,59,83,0,44,20,4,1986-03-03
Mastermind,Taylor Swift,1,1936,0,218320587,7,5,13,0,66,12,35,55,0,9,14,2022-10-21
Matilda,Harry Styles,1,3218,3,366214458,29,10,79,0,51,39,29,90,0,10,4,2022-05-20
Me Arrepent�,"Ak4:20, Cris Mj, Pailita",3,273,2,118381354,12,2,4,0,86,91,79,29,0,60,16,2022-03-30
Me Fui de Vacaciones,Bad Bunny,1,1443,0,305650299,9,11,22,1,71,43,65,23,0,9,5,2022-05-06
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,8870,43,1440757818,104,120,141,26,91,43,71,9,0,9,8,2022-05-06
Me and Your Mama,Childish Gambino,1,8775,0,445590495,33,60,107,1,56,25,45,1,3,7,3,2016-11-10
Medallo,"Justin Quiles, Lenny Tav��rez, BL",3,2780,2,393230256,54,21,57,1,79,79,70,57,0,66,8,2021-10-27
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,6734,0,530511203,47,14,90,0,77,40,47,2,0,9,3,2020-03-13
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,675,1,50847624,9,13,11,0,62,56,66,18,0,12,5,2023-05-04
Memories,Maroon 5,1,9974,2,1759567999,272,67,,1,77,60,32,84,0,8,5,2019-09-20
Merry Christmas,"Ed Sheeran, Elton John",2,2209,0,135723538,72,90,141,0,59,60,94,24,0,10,4,2017-11-10
Merry Christmas Everyone,Shakin' Stevens,1,1087,0,351636786,90,35,5,0,72,91,87,14,0,13,3,1984-01-01
Mi Bello Angel,Natanael Cano,1,86,8,31873544,7,76,3,1,81,90,77,1,0,9,5,2023-06-30
Midnight Rain,Taylor Swift,1,2612,4,433356509,19,29,21,0,64,18,37,72,0,12,7,2022-10-21
Mine (Taylor's Version),Taylor Swift,1,99,15,36912123,21,52,6,1,65,49,78,0,0,17,4,2023-07-07
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,5120,48,211050784,161,115,246,9,64,31,87,4,4,8,4,2023-03-10
Mirror,Kendrick Lamar,1,1929,0,53603447,2,0,4,0,66,29,65,23,0,8,7,2022-05-13
Miserable Man,David Kushner,1,788,0,124407432,13,0,32,1,63,31,35,93,0,29,3,2022-01-07
Miss You,"Robin Schulz, Oliver Tree",2,5730,10,497225336,108,16,197,3,59,20,74,1,0,15,5,2022-08-05
Mistletoe,Justin Bieber,1,9577,0,629173063,195,111,310,0,67,88,54,51,0,9,4,2011-01-01
Mi��n,"Tini, Maria Becerra",2,3406,16,596152090,61,23,70,1,85,92,54,16,0,29,7,2021-04-29
Mockingbird,Eminem,1,12985,61,1241559043,49,98,,5,62,24,67,21,0,13,28,2004-01-01
Mon Amour - Remix,"Aitana, zzoilo",2,3221,2,578207856,67,13,139,0,75,36,76,12,0,10,10,2020-09-21
Money Trees,"Kendrick Lamar, Jay Rock",2,26792,32,1093605526,69,113,695,0,74,37,53,7,0,21,10,2012-01-01
Monoton�,"Ozuna, Shakira",2,3645,15,380726517,118,34,150,4,87,82,70,42,0,21,5,2022-10-19
Mon��y so,YEAT,1,1473,0,263779030,2,0,12,0,69,35,57,12,0,10,9,2021-09-10
Mood (feat. Iann Dior),"24kgoldn, Iann Dior",2,12854,0,1699402402,237,27,636,0,70,76,72,22,0,27,4,2020-07-24
Moonlight,Kali Uchis,1,2649,42,256483385,67,79,57,1,64,88,72,51,0,17,5,2023-02-24
Moscow Mule,Bad Bunny,1,4572,33,909001996,74,113,85,9,80,29,67,29,0,12,3,2022-05-06
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,7495,17,611994237,114,172,284,2,56,16,67,0,0,11,4,2021-10-22
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",2,1890,0,33381454,3,0,2,0,49,50,37,87,0,11,35,2022-05-13
Mount Everest,Labrinth,1,5443,0,467727006,45,1,80,0,46,43,43,23,8,8,22,2019-06-21
Mr. Brightside,The Killers,1,51979,15,1806617704,306,99,,2,35,24,93,0,0,10,8,2003-09-23
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,1860,0,58687425,1,0,3,0,73,26,54,30,0,34,32,2022-05-13
Mujeriego,Ryan Castro,1,1492,0,231996128,44,63,91,0,76,92,62,6,0,8,13,2021-12-17
Murder In My Mind,Kordhell,1,2459,20,448843705,20,68,50,0,71,57,97,1,0,13,11,2022-01-21
Music For a Sushi Restaurant,Harry Styles,1,4449,1,334733572,80,11,66,0,72,36,72,26,6,11,4,2022-05-20
Mu��,"Steve Aoki, Tini, La Joaqui",3,658,6,120972253,33,7,53,2,68,83,71,3,0,31,8,2023-01-12
My Mind & Me,Selena Gomez,1,953,0,91473363,61,13,37,1,60,24,39,57,0,8,3,2022-11-03
My Only Wish (This Year),Britney Spears,1,6952,0,261116938,115,53,286,0,67,69,72,17,0,19,3,2000-11-07
My Universe,"Coldplay, BTS",2,6127,13,1061966512,0,0,0,0,58,42,68,1,0,14,4,2021-09-24
N95,Kendrick Lamar,1,5542,0,301242089,52,16,65,0,81,39,66,38,0,12,14,2022-05-13
NEW MAGIC WAND,"Tyler, The Creator",2,4708,0,461437791,13,7,55,0,62,46,73,10,0,67,11,2019-05-16
Nail Tech,Jack Harlow,1,2939,0,193443895,42,0,24,0,65,11,58,0,0,12,9,2022-02-18
Need To Know,Doja Cat,1,6672,0,1042568408,125,36,150,0,66,19,61,30,0,9,7,2021-06-11
Never Felt So Alone,Labrinth,1,1730,3,117747907,46,5,51,0,44,36,41,50,0,38,5,2023-04-07
Neverita,Bad Bunny,1,2590,30,671365962,20,64,35,6,88,43,50,7,0,14,5,2022-05-06
New Jeans,NewJeans,1,77,35,29562220,8,166,4,4,81,53,72,51,0,12,5,2023-07-07
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,1602,0,195516622,12,22,12,0,49,24,66,19,0,18,29,2022-12-02
Night Changes,One Direction,1,7124,18,1131090940,60,20,2,0,67,40,52,86,0,12,4,2014-11-17
Ni��a Bo,"Sean Paul, Feid",2,1305,34,115010040,29,26,43,5,82,47,62,10,0,10,15,2023-04-21
No Lie,"Sean Paul, Dua Lipa",2,7370,0,956865266,92,127,,0,74,45,89,5,0,26,13,2016-11-18
No Role Modelz,J. Cole,1,21164,36,1791000570,80,65,476,0,70,47,52,30,0,6,33,2014-12-09
No Se Va,Grupo Frontera,1,924,18,404887295,17,80,22,9,59,69,53,12,0,23,3,2022-04-28
Nobody Gets Me,SZA,1,2536,6,284908316,59,100,58,13,36,28,28,81,0,18,3,2022-12-09
Nonsense,Sabrina Carpenter,1,2346,27,342897938,69,12,38,8,74,68,68,3,0,26,4,2022-07-15
Normal,Feid,1,2461,36,459276435,47,66,45,5,71,59,56,4,0,27,12,2022-07-08
Nos Comemos (feat. Ozuna),"Ozuna, Tiago pzk",2,896,0,138334433,0,0,2,0,83,56,82,10,0,9,5,2022-06-02
Nosso Quadro,"Ana Castela, AgroPlay",2,894,9,233801632,14,88,66,3,69,61,71,33,0,31,20,2023-02-02
Nost��l,"Chris Brown, Rvssian, Rauw Alejandro",3,2780,2,436695353,86,76,59,0,73,60,85,17,0,24,5,2021-09-08
Notice Me,SZA,1,819,0,62019074,14,22,0,0,72,78,68,28,0,11,12,2022-12-09
Notion,The Rare Occasions,1,2393,0,421135627,22,13,65,0,31,30,88,7,0,8,8,2016-08-05
Novidade na ��,"Mc Livinho, DJ Matt D",2,267,9,39709092,9,6,25,2,63,36,34,76,0,35,9,2023-06-23
Novo Balan�,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,283,7,81102253,6,9,26,1,84,65,50,67,0,13,6,2023-05-19
Numb,Linkin Park,1,20111,5,1361425037,39,0,,0,50,24,86,0,0,64,4,2003-03-24
Numb Little Bug,Em Beihold,1,2026,0,258714692,47,3,42,12,74,61,52,30,0,26,9,2022-01-28
Nxde,(G)I-DLE,1,430,6,170709584,14,116,9,0,73,65,91,4,0,48,18,2022-10-17
O.O,NMIXX,1,290,0,135444283,9,66,10,0,39,28,77,4,0,6,29,2022-02-22
OMG,NewJeans,1,1783,27,430977451,26,124,15,1,80,74,77,36,0,11,4,2023-01-02
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,6890,0,427486004,122,11,201,0,79,79,84,2,0,5,5,2021-08-13
Obsessed,"Abhijay Sharma, Riar Saab",2,161,6,71007139,10,79,2,0,80,85,74,62,0,8,9,2022-09-29
Oh My God,Adele,1,4431,0,466214729,105,7,199,0,53,55,73,9,0,3,5,2021-11-19
Oi Balde - Ao Vivo,Z�� Neto & Crist,1,845,2,145458418,12,57,47,1,67,55,67,60,0,80,5,2023-02-14
Ojitos Lindos,"Bomba Est��reo, Bad B",2,6135,38,1133865788,71,113,99,13,65,27,69,8,0,53,4,2022-05-06
Ojos Marrones,Lasso,1,795,11,263280370,26,18,15,1,81,72,65,4,0,14,4,2022-02-06
On BS,"Drake, 21 Savage",2,1338,0,170413877,9,20,7,0,84,33,36,2,0,39,59,2022-11-04
On Time (with John Legend),"John Legend, Metro Boomin",2,398,0,78139948,2,2,6,0,33,51,59,76,0,44,6,2022-12-02
One Dance,"Drake, WizKid, Kyla",3,43257,24,,433,107,,0,77,36,63,1,0,36,5,2016-04-04
One Kiss (with Dua Lipa),"Calvin Harris, Dua Lipa",2,27705,10,1897517891,537,122,,6,79,59,86,4,0,8,11,2017-06-02
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,4771,0,539595276,68,18,75,0,68,72,78,4,0,7,5,2021-11-05
One Thing At A Time,Morgan Wallen,1,811,4,148469433,11,58,5,0,61,92,91,0,0,26,3,2022-12-02
Only Love Can Hurt Like This,Paloma Faith,1,5148,0,588955257,90,22,365,0,57,30,89,10,0,33,8,2014-01-01
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,1420,4,155653938,13,87,17,0,67,22,59,76,1,15,16,2022-12-08
Otro Atardecer,"Bad Bunny, The Mar��",2,1681,7,319546754,10,30,13,0,78,55,60,59,0,7,4,2022-05-06
Out of Time,The Weeknd,1,3711,0,339659802,49,88,62,0,65,82,74,27,0,32,5,2022-01-07
Overdrive,Post Malone,1,410,36,14780425,36,32,31,1,56,48,73,0,0,35,4,2023-07-14
PERO T�,"Karol G, Quevedo",2,387,11,93438910,11,15,14,3,86,68,79,39,0,11,29,2023-02-23
PLAYA DEL INGL�,"Myke Towers, Quevedo",2,1701,15,221409663,30,15,34,2,79,66,74,8,0,11,5,2022-12-15
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,773,33,57312735,20,46,21,8,62,55,80,15,0,37,7,2023-06-08
POP!,Nayeon,1,571,0,213505179,19,21,14,0,80,36,86,4,0,3,5,2022-06-24
PRC,"Natanael Cano, Peso Pluma",2,961,26,436027885,19,143,10,6,78,89,83,10,0,12,5,2023-01-23
PROVENZA,Karol G,1,6587,34,885093467,114,104,147,11,87,53,52,66,1,11,5,2022-04-21
PUFFIN ON ZOOTIEZ,Future,1,2350,0,254218729,28,42,23,0,88,28,66,6,0,13,31,2022-04-29
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,3006,12,304079786,54,32,66,2,87,20,83,0,4,31,9,2022-09-22
Pantysito,"Feid, Alejo, Robi",3,2995,0,273005485,49,17,30,0,83,63,74,14,0,16,6,2022-03-18
Party,"Bad Bunny, Rauw Alejandro",2,3185,4,614555082,38,64,37,3,83,47,80,2,0,24,9,2022-05-06
Pasoori,"Shae Gill, Ali Sethi",2,349,6,284249832,10,22,3,0,71,67,60,7,0,6,4,2022-02-06
Pass The Dutchie,Musical Youth,1,5328,0,195918494,54,76,900,0,73,88,67,20,0,32,5,1982-01-01
"Paulo Londra: Bzrp Music Sessions, Vol. 23","Bizarrap, Paulo Londra",2,928,0,164163229,19,0,7,0,61,32,90,25,0,10,9,2022-04-25
Payphone,"Maroon 5, Wiz Khalifa",2,14143,4,1479264469,56,38,,1,74,51,74,2,0,29,4,2012-01-01
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,14140,0,1445941661,231,52,612,6,63,49,68,38,0,42,18,2021-03-19
Peaches (from The Super Mario Bros. Movie),Jack Black,1,34,0,68216992,0,0,0,0,71,41,31,79,0,10,5,2023-04-07
People,Libianca,1,3506,56,373199958,105,64,169,8,59,71,42,55,0,10,7,2022-12-02
People Pt.2 (feat. IU),"IU, Agust D",2,209,4,95816024,4,45,11,2,73,44,57,39,0,32,6,2023-04-07
Pepas,Farruko,1,14114,17,1309887447,252,109,965,20,76,44,77,1,0,13,3,2021-06-24
Perfect,Ed Sheeran,1,16596,13,,7,0,,0,60,17,45,16,0,11,2,2017-01-01
Permission to Dance,BTS,1,1801,2,608334048,77,134,74,0,70,65,74,1,0,34,4,2021-07-09
Peru,"Ed Sheeran, Fireboy DML",2,2999,0,261286503,60,17,154,0,96,71,42,57,0,8,9,2021-12-23
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,1313,40,200647221,17,152,32,11,85,81,67,26,0,12,5,2023-05-31
Phantom Regret by Jim,The Weeknd,1,768,0,31959571,1,1,3,0,46,23,48,75,30,14,4,2022-01-07
Photograph,Ed Sheeran,1,18778,3,,228,105,,0,61,20,38,61,0,10,5,2014-06-20
Pink + White,Frank Ocean,1,21574,30,806397070,112,68,266,1,54,54,55,67,0,42,11,2016-08-20
Pink Venom,BLACKPINK,1,1963,16,551305895,57,119,77,1,80,71,69,2,0,27,10,2022-08-19
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,1112,4,191873381,22,2,65,1,77,74,74,47,0,34,8,2022-05-20
Pi��man De�,"Semicenk, Do��u",2,185,3,43522589,5,6,4,1,73,45,62,28,0,13,13,2023-06-02
Plan A,Paulo Londra,1,1105,0,240661097,32,0,19,0,58,56,83,5,0,7,4,2022-03-23
Players,Coi Leray,1,4096,6,335074782,118,48,143,0,95,62,52,3,0,5,16,2022-11-30
Poland,Lil Yachty,1,1584,0,115331792,38,0,24,0,70,26,56,14,83,11,5,2022-06-23
Polaroid Love,ENHYPEN,1,461,0,211372494,10,56,17,0,74,65,67,46,0,36,4,2022-01-10
Pope Is a Rockstar,SALES,1,1966,0,156658366,4,2,50,0,73,31,45,85,24,11,3,2016-04-20
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,1945,87,115364561,74,182,87,14,85,83,68,7,0,36,20,2023-06-02
Por las Noches,Peso Pluma,1,457,24,330346424,8,116,4,3,81,39,60,31,0,7,3,2021-06-11
Potion (with Dua Lipa & Young Thug),"Calvin Harris, Dua Lipa, Young Thug",3,3983,0,190625045,73,45,119,0,82,76,70,16,0,8,5,2022-05-27
Praise God,Kanye West,1,4651,0,376333030,24,6,105,0,80,21,55,1,0,26,17,2021-08-29
Primera Cita,Carin Leon,1,266,27,77309611,6,40,6,6,54,50,40,61,0,10,6,2022-04-20
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,1444,4,104992946,0,0,0,0,90,74,68,14,0,10,19,2023-04-14
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,1190,0,105062254,29,3,18,0,84,44,67,8,0,11,6,2023-02-23
Privileged Rappers,"Drake, 21 Savage",2,1007,0,112436403,6,5,3,0,93,62,61,0,0,12,20,2022-11-04
Problem�,"Alvaro Diaz, Rauw Alejandro",2,1517,0,209768491,42,7,15,0,73,37,74,28,0,14,6,2021-10-22
Prohibidox,Feid,1,1473,12,185392587,25,36,25,1,65,52,80,5,0,6,25,2022-09-13
Punto G,Quevedo,1,1985,35,381161027,34,26,37,5,75,55,76,25,0,10,15,2022-11-04
Purple Hearts,"Kendrick Lamar, Ghostface Killah, Summer Walker",3,2308,0,76831876,7,0,7,0,57,71,82,19,0,15,29,2022-05-13
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",3,1930,0,191333656,24,8,17,0,75,45,63,6,0,35,12,2022-11-04
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,437,31,11599388,17,29,26,3,79,92,89,5,0,6,5,2023-07-13
Que Vuelvas,"Carin Leon, Grupo Frontera",2,763,26,2762,21,110,21,9,49,78,64,19,0,11,4,2022-12-09
Queencard,(G)I-DLE,1,451,33,96273746,10,126,7,0,82,69,83,3,0,27,5,2023-05-15
Question...?,Taylor Swift,1,1608,0,223064273,10,3,12,0,75,11,50,20,0,30,17,2022-10-21
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,8506,45,1356565093,94,65,164,14,62,55,78,1,3,23,4,2022-07-06
Qu�� Ago,"Yuridia, Angela Aguilar",2,660,15,236857112,19,59,18,5,73,88,57,56,0,5,2,2022-10-20
Qu�� M��,"J Balvin, Maria Becerra",2,8087,0,720825549,92,34,131,0,89,77,82,3,0,17,11,2021-01-28
RAPSTAR,Polo G,1,4731,0,797402345,141,12,78,0,79,44,54,41,0,13,24,2021-04-09
REMIX EXCLUSIVO,Feid,1,1235,9,117206995,20,8,15,0,65,71,56,4,0,15,20,2023-03-17
RUMBAT�,Daddy Yankee,1,1264,0,157990698,20,4,52,0,69,90,91,6,0,35,4,2022-03-25
Radio,Lana Del Rey,1,9389,46,284819874,24,122,282,3,42,20,86,21,0,9,9,2011-01-01
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,880,0,110649992,3,7,10,0,80,15,54,9,0,38,5,2022-12-02
Rara Vez,"Taiu, Milo j",2,893,38,248088961,19,23,24,3,84,96,71,18,0,34,17,2023-02-08
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,871,32,66902503,25,59,32,5,78,59,65,10,0,26,5,2023-06-21
Red Ruby Da Sleeze,Nicki Minaj,1,1168,0,81419389,45,11,20,0,70,29,73,12,0,11,26,2023-03-03
Reminder,The Weeknd,1,6518,17,684675814,45,85,238,1,71,40,50,16,0,16,22,2016-11-25
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,461,0,94616487,7,11,13,0,59,70,74,56,0,11,40,2022-03-03
Revenge,XXXTENTACION,1,3600,11,1022258230,7,0,203,0,75,18,25,78,0,11,26,2017-08-25
Rich - Interlude,Kendrick Lamar,1,1103,0,41210087,0,0,0,0,44,74,42,88,0,9,9,2022-05-13
Rich Flex,"Drake, 21 Savage",2,4657,18,573633020,84,84,42,0,56,42,52,5,0,36,24,2022-11-04
Rich Spirit,Kendrick Lamar,1,3486,0,173702135,20,10,33,0,85,41,43,39,0,12,21,2022-05-13
Right On,Lil Baby,1,1116,0,101780047,31,9,15,0,70,22,61,2,0,10,34,2022-04-08
Riptide,Vance Joy,1,31123,55,2009094673,300,65,,1,48,50,73,43,0,15,4,1975-01-01
Rockin' Around The Christmas Tree,Brenda Lee,1,14994,0,769213520,191,168,206,0,70,85,41,71,0,45,5,1958-01-01
Rolling in the Deep,Adele,1,35684,6,1472799873,195,125,,2,73,52,76,13,0,5,3,2010-11-29
Romantic Homicide,d4vd,1,2335,23,681583126,82,55,50,0,56,20,55,45,1,32,3,2022-07-20
Rosa Pastel,"Jasiel Nu��ez, Peso P",2,200,4,90025258,8,77,2,1,70,86,68,24,0,11,4,2023-02-02
Rumble,"Skrillex, Flowdan, Fred again..",3,2849,0,78489819,39,45,27,0,81,6,84,5,23,6,6,2022-01-17
Run BTS,BTS,1,736,0,330881149,5,132,17,0,72,70,82,2,0,4,17,2022-06-10
Run Rudolph Run - Single Version,Chuck Berry,1,8612,0,245350949,120,30,52,0,69,94,71,79,0,7,8,1958-01-01
Running Up That Hill (A Deal With God),Kate Bush,1,21811,0,1024858327,117,1,676,3,63,20,55,72,0,6,6,1985-09-16
Rush,Troye Sivan,1,864,78,22581161,71,135,50,1,74,35,84,0,0,11,6,2023-07-13
S-Class,Stray Kids,1,290,19,65496046,9,101,5,0,89,67,78,9,0,7,33,2023-06-02
S91,Karol G,1,525,41,16011326,34,115,39,6,86,42,72,59,0,9,19,2023-07-14
SABOR FRESA,Fuerza Regida,1,250,26,78300654,16,149,10,5,79,96,86,9,0,9,9,2023-06-22
SLOW DANCING IN THE DARK,Joji,1,10211,0,1122364376,38,79,65,0,52,28,48,54,1,19,3,2018-09-12
SNAP,Rosa Linn,1,3202,18,726307468,148,80,226,24,56,53,64,11,0,45,6,2022-03-19
SORRY NOT SORRY,"Tyler, The Creator",2,709,0,58473276,8,1,13,0,48,50,80,40,0,37,20,2023-03-31
SOS,SZA,1,827,0,73981293,6,18,1,0,51,51,66,67,0,9,23,2022-12-09
SPACE MAN,Sam Ryder,1,1329,0,54682594,42,51,32,0,47,33,83,18,0,10,5,2022-02-22
SPIT IN MY FACE!,ThxSoMch,1,629,14,303216294,32,3,9,0,73,65,79,5,2,11,6,2022-10-31
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2616,0,332506354,113,17,208,0,64,31,72,15,0,9,5,2022-09-22
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,17050,36,,492,99,798,31,59,48,76,4,0,10,5,2021-07-09
STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",3,2107,0,170732845,51,1,50,0,72,18,46,7,0,28,8,2022-08-05
SUPERMODEL,M��ne,1,2265,0,231657891,93,12,173,11,64,80,88,0,0,12,6,2022-05-13
Sacrifice,The Weeknd,1,4440,0,326792833,81,77,133,0,70,91,79,3,0,7,10,2022-01-07
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,3643,0,354065229,69,3,70,0,86,31,53,43,0,11,6,2021-09-16
Salimo de Noche,"Trueno, Tiago pzk",2,1057,0,261414174,17,5,21,0,67,78,63,29,0,12,5,2021-10-21
San Lucas,Kevin Kaarl,1,407,1,244891912,5,0,5,0,58,27,36,86,0,9,3,2019-11-07
Santa Tell Me,Ariana Grande,1,9408,0,834129063,231,106,439,0,46,53,63,5,0,30,18,2013-12-13
Satellite,Harry Styles,1,3291,5,311482393,43,28,79,0,58,30,46,14,0,9,3,2022-05-20
